,Police Region,Year,Total Population
0,1 North West Metro,2012,1796924
1,1 North West Metro,2013,1856596
2,1 North West Metro,2014,1916448
3,1 North West Metro,2015,1977689
4,1 North West Metro,2016,2047992
5,1 North West Metro,2017,2122033
6,1 North West Metro,2018,2191893
7,1 North West Metro,2019,2257783
8,1 North West Metro,2020,2305910
9,1 North West Metro,2021,2295536
10,2 Eastern,2012,1573137
11,2 Eastern,2013,1591663
12,2 Eastern,2014,1610207
13,2 Eastern,2015,1630219
14,2 Eastern,2016,1654999
15,2 Eastern,2017,1678624
16,2 Eastern,2018,1699229
17,2 Eastern,2019,1719766
18,2 Eastern,2020,1734906
19,2 Eastern,2021,1722509
20,3 Southern Metro,2012,1366487
21,3 Southern Metro,2013,1396949
22,3 Southern Metro,2014,1428859
23,3 Southern Metro,2015,1462343
24,3 Southern Metro,2016,1501670
25,3 Southern Metro,2017,1538452
26,3 Southern Metro,2018,1574023
27,3 Southern Metro,2019,1607247
28,3 Southern Metro,2020,1629485
29,3 Southern Metro,2021,1622350
30,4 Western,2012,913668
31,4 Western,2013,926574
32,4 Western,2014,938490
33,4 Western,2015,951130
34,4 Western,2016,967540
35,4 Western,2017,981519
36,4 Western,2018,995906
37,4 Western,2019,1011124
38,4 Western,2020,1025396
39,4 Western,2021,1037326
